first,second,nonPreferred,notAssigned,missing,total
0,0,153,0,0,153
91,0,84,0,0,175
107,8,71,0,0,186
90,10,48,0,0,148
111,18,22,0,0,151
112,25,39,0,0,176
149,34,64,0,0,247
145,50,37,0,0,232
117,48,15,0,0,180
121,36,12,0,0,169
117,27,17,0,0,161
145,41,40,0,0,226
169,52,44,0,0,265
146,51,21,0,0,218
123,47,3,0,0,173
125,48,3,0,0,176
119,56,7,0,0,182
106,44,22,0,0,172
154,65,10,0,0,229
169,73,24,0,0,266
144,54,20,0,0,218
120,43,2,0,0,165
119,38,1,0,0,158
121,57,7,0,0,185
117,50,11,0,0,178
137,69,17,0,0,223
170,65,44,0,0,279
157,67,10,0,0,234
118,64,1,0,0,183
126,51,1,0,0,178
118,62,12,0,0,192
117,48,14,0,0,179
151,71,7,0,0,229
183,55,29,0,0,267
151,56,17,0,0,224
125,48,0,0,0,173
126,39,1,0,0,166
109,61,1,0,0,171
96,67,1,0,0,164
136,64,5,0,0,205
150,88,22,0,0,260
150,63,15,0,0,228
122,51,0,0,0,173
122,56,0,0,0,178
121,62,0,0,0,183
133,49,0,0,0,182
160,64,19,0,0,243
184,75,26,0,0,285
164,67,6,0,0,237
132,43,5,0,0,180
114,60,1,0,0,175
102,67,15,0,0,184
110,66,0,0,0,176
146,70,18,0,0,234
171,88,24,0,0,283
147,69,4,0,0,220
117,55,0,0,0,172
114,67,2,0,0,183
108,73,3,0,0,184
124,66,1,0,0,191
142,67,14,0,0,223
168,86,21,0,0,275
156,83,0,0,0,239
112,67,0,0,0,179
124,57,1,0,0,182
100,69,24,0,0,193
108,42,34,0,0,184
143,65,17,0,0,225
187,69,44,0,0,300
154,67,24,0,0,245
