first,second,nonPreferred,notAssigned,missing,total
0,0,176,0,0,176
114,6,127,0,0,247
163,16,53,0,0,232
130,17,33,0,0,180
124,19,26,0,0,169
107,17,37,0,0,161
147,27,52,0,0,226
169,40,56,0,0,265
148,47,23,0,0,218
128,32,13,0,0,173
133,33,10,0,0,176
118,52,12,0,0,182
107,33,32,0,0,172
155,50,24,0,0,229
184,54,28,0,0,266
149,37,32,0,0,218
125,36,4,0,0,165
120,35,3,0,0,158
122,57,6,0,0,185
114,40,24,0,0,178
147,50,26,0,0,223
165,61,53,0,0,279
150,74,10,0,0,234
121,61,1,0,0,183
131,47,0,0,0,178
119,57,16,0,0,192
119,48,12,0,0,179
156,69,4,0,0,229
171,65,31,0,0,267
134,67,23,0,0,224
129,44,0,0,0,173
115,50,1,0,0,166
107,64,0,0,0,171
108,53,3,0,0,164
141,56,8,0,0,205
154,80,26,0,0,260
152,69,7,0,0,228
123,50,0,0,0,173
116,62,0,0,0,178
114,65,4,0,0,183
123,59,0,0,0,182
145,78,20,0,0,243
182,79,24,0,0,285
157,70,10,0,0,237
118,58,4,0,0,180
105,67,3,0,0,175
106,63,15,0,0,184
115,58,3,0,0,176
151,75,8,0,0,234
181,74,28,0,0,283
157,63,0,0,0,220
121,51,0,0,0,172
132,49,2,0,0,183
109,75,0,0,0,184
120,70,1,0,0,191
148,60,15,0,0,223
161,88,26,0,0,275
149,90,0,0,0,239
117,62,0,0,0,179
120,61,1,0,0,182
112,67,14,0,0,193
108,49,27,0,0,184
127,93,5,0,0,225
191,78,31,0,0,300
141,83,21,0,0,245
115,60,1,0,0,176
138,50,1,0,0,189
120,58,9,0,0,187
130,57,3,0,0,190
150,92,15,0,0,257
