first,second,nonPreferred,notAssigned,missing,total
0,0,153,0,0,153
91,0,84,0,0,175
107,6,73,0,0,186
91,11,46,0,0,148
100,20,31,0,0,151
108,31,37,0,0,176
147,28,72,0,0,247
146,54,32,0,0,232
124,40,16,0,0,180
112,44,13,0,0,169
103,45,13,0,0,161
134,57,35,0,0,226
153,60,52,0,0,265
143,51,24,0,0,218
117,50,6,0,0,173
128,44,4,0,0,176
116,58,8,0,0,182
103,49,20,0,0,172
135,74,20,0,0,229
172,61,33,0,0,266
142,53,23,0,0,218
120,42,3,0,0,165
106,51,1,0,0,158
126,51,8,0,0,185
102,69,7,0,0,178
133,66,24,0,0,223
167,79,33,0,0,279
159,62,13,0,0,234
117,65,1,0,0,183
133,45,0,0,0,178
121,68,3,0,0,192
112,51,16,0,0,179
137,88,4,0,0,229
175,59,33,0,0,267
158,42,24,0,0,224
128,44,1,0,0,173
117,49,0,0,0,166
118,53,0,0,0,171
99,58,7,0,0,164
129,63,13,0,0,205
149,84,27,0,0,260
148,65,15,0,0,228
122,51,0,0,0,173
97,81,0,0,0,178
109,73,1,0,0,183
102,75,5,0,0,182
147,75,21,0,0,243
177,79,29,0,0,285
149,78,10,0,0,237
140,35,5,0,0,180
99,76,0,0,0,175
110,56,18,0,0,184
106,68,2,0,0,176
135,73,26,0,0,234
182,71,30,0,0,283
118,100,2,0,0,220
105,67,0,0,0,172
102,79,2,0,0,183
107,71,6,0,0,184
115,76,0,0,0,191
127,75,21,0,0,223
173,74,28,0,0,275
149,90,0,0,0,239
116,63,0,0,0,179
112,69,1,0,0,182
108,57,28,0,0,193
101,40,43,0,0,184
141,75,9,0,0,225
177,80,43,0,0,300
148,65,32,0,0,245
